0546c367-9a44-4d97-9228-b540150fe3e5, [12:53:17:158:46397158:158636000, Cliente 0]
3245c585-a0cc-44a4-8cb7-8b47acbce4aa, [12:53:17:158:46397158:158636000, Cliente 0]
d933bbc6-50f6-48ed-bafc-d460b128b55d, [12:53:17:158:46397158:158636000, Cliente 0]
c54b443a-0d12-42de-9e28-749aa66b8e6a, [12:53:17:158:46397158:158636000, Cliente 0]
43c905c7-65ce-47d7-bb70-a9c760df0816, [12:53:17:158:46397158:158636000, Cliente 0]
37ef95a5-c750-48df-994d-f3175ea7efb3, [12:53:17:158:46397158:158636000, Cliente 0]
bfbfdecd-4ed4-4804-89f4-fd095cf29c66, [12:53:17:158:46397158:158636000, Cliente 0]
4368b4a3-685b-4785-a588-68bbb5ecf613, [12:53:17:158:46397158:158636000, Cliente 0]
e79f701d-da5e-409a-9eee-f95c70816729, [12:53:17:158:46397158:158636000, Cliente 0]
49bce054-e8d4-4d4c-a4f7-d964f895d9ef, [12:53:17:158:46397158:158636000, Cliente 0]
77b7ee3f-33ae-4bc7-97ad-c307a38ee1b9, [12:53:17:158:46397158:158636000, Cliente 0]
0ebc243b-b8bc-43ea-ace9-e4e75990425b, [12:53:17:158:46397158:158636000, Cliente 0]
f0be8f8e-0465-433f-905b-a1aa374f3405, [12:53:17:158:46397158:158636000, Cliente 0]
b493f231-159c-4857-b3e3-a8074903a91e, [12:53:17:158:46397158:158636000, Cliente 0]
c9b33dfa-b951-4aab-b86b-182ceb3f8a72, [12:53:17:158:46397158:158636000, Cliente 0]
304e95ed-39f0-4c9f-b685-3309f5cd26c0, [12:53:17:158:46397158:158636000, Cliente 0]
bac6529c-f080-48f0-be26-5f8e34642444, [12:53:17:158:46397158:158636000, Cliente 0]
48a0d278-47da-46a7-bdb9-31aa1f0d8181, [12:53:17:158:46397158:158636000, Cliente 0]
a24f5c71-df1c-415f-928f-13e7f7509c18, [12:53:17:158:46397158:158636000, Cliente 0]
44bf8e5c-3e99-4866-8511-8684fcab8070, [12:53:17:158:46397158:158636000, Cliente 0]
1c68c6d1-31a0-4b8c-bd12-7ecd479decb7, [12:53:17:158:46397158:158636000, Cliente 0]
083a5352-4570-4c67-afb3-7a7e228e72ac, [12:53:17:158:46397158:158636000, Cliente 0]
faea468b-e965-497e-ab5d-dc316e2a7cad, [12:53:17:158:46397158:158636000, Cliente 0]
f600eaa8-5c06-4e7c-b236-bbc48d8978a3, [12:53:17:158:46397158:158636000, Cliente 0]
5d1c167c-07c6-4e00-9eea-b53fb0d6152a, [12:53:17:158:46397158:158636000, Cliente 0]
29359724-7e1a-43db-baf3-c0ca4a63f97c, [12:53:17:158:46397158:158636000, Cliente 0]
0ca23f06-1bb5-433d-9d60-22252da0334c, [12:53:17:158:46397158:158636000, Cliente 0]
454669e0-1c74-484c-b491-5f4912ff8d6e, [12:53:17:158:46397158:158636000, Cliente 0]
1c776155-8cd4-44b2-aec5-05a1daaa1b61, [12:53:17:158:46397158:158636000, Cliente 0]
292956b2-0d8e-4fd0-a4c3-c7c1b137efa8, [12:53:17:158:46397158:158636000, Cliente 0]
a64db464-4a98-4728-a788-f29e6732ff6f, [12:53:17:158:46397158:158636000, Cliente 0]
4b78b469-0f40-489e-b7e3-40ee4fa2de9a, [12:53:17:158:46397158:158636000, Cliente 0]
8ebfe70c-fcc8-41fe-9cc3-ce3a1d844286, [12:53:17:158:46397158:158636000, Cliente 0]
b1274530-7982-491c-bbb7-1045cfdf66e9, [12:53:17:158:46397158:158636000, Cliente 0]
f7f0febc-c27c-4d68-8975-b779837944cf, [12:53:17:158:46397158:158636000, Cliente 0]
2e8237c5-e811-4630-a175-ec6c85a8f20d, [12:53:17:158:46397158:158636000, Cliente 0]
10120b42-3831-44f9-939b-c6d71b2765bc, [12:53:17:158:46397158:158636000, Cliente 0]
5beb4d4b-f3de-4758-8b5f-4d65c0b30cd0, [12:53:17:158:46397158:158636000, Cliente 0]
cb00d45c-031b-4f26-917d-6d98711a1902, [12:53:17:158:46397158:158636000, Cliente 0]
9eb639bc-800c-4b31-83ea-0394ff844e0f, [12:53:17:158:46397158:158636000, Cliente 0]
a39f3468-c12c-4027-8b5f-4b40428e3e8c, [12:53:17:158:46397158:158636000, Cliente 0]
037f75fa-3917-49e1-83be-2bd753bacabb, [12:53:17:158:46397158:158636000, Cliente 0]
847f5ba4-b9c7-40f6-864b-dcbbb305efff, [12:53:17:158:46397158:158636000, Cliente 0]
8dfc39ce-d1d5-4a79-aedc-09a03fd503a1, [12:53:17:158:46397158:158636000, Cliente 0]
2258fd18-d9a9-4f25-b4cd-fc60d7a2fa27, [12:53:17:158:46397158:158636000, Cliente 0]
a53fcd08-fbbe-4039-aa63-50410987efa5, [12:53:17:158:46397158:158636000, Cliente 0]
2d179260-4d2a-413d-b657-eeefa57efeab, [12:53:17:158:46397158:158636000, Cliente 0]
b89721d9-65f9-4ba0-aa95-4adf12b0a8b4, [12:53:17:158:46397158:158636000, Cliente 0]
6a711920-c5c4-460a-9ba1-568848d666bf, [12:53:17:158:46397158:158636000, Cliente 0]
337b6395-ed94-4fcd-9142-8fe2f0fe8246, [12:53:17:158:46397158:158636000, Cliente 0]
224664d6-07e1-48dc-ac4b-bad3e08026ce, [12:53:18:086:46398086:086210000, Cliente 1]
90d92957-9e00-4a89-be10-14127ff7d1c9, [12:53:18:086:46398086:086210000, Cliente 1]
3e1138dd-16cb-4d06-8dc2-8797e5ba7fbd, [12:53:18:086:46398086:086210000, Cliente 1]
9a2b9be8-3aef-44e9-8b64-e6b211e22db1, [12:53:18:086:46398086:086210000, Cliente 1]
f016bc17-529b-4710-82ab-d886cc616435, [12:53:18:086:46398086:086210000, Cliente 1]
94f7038d-1405-4375-8549-c5a3e4077b3a, [12:53:18:086:46398086:086210000, Cliente 1]
2864abf9-3069-4ae4-a5a5-40d7f827dbac, [12:53:18:086:46398086:086210000, Cliente 1]
b475f48b-49a5-4020-9206-ef8b490989df, [12:53:18:086:46398086:086210000, Cliente 1]
c8e6cf74-24c0-4276-b157-efe43689b9ca, [12:53:18:086:46398086:086210000, Cliente 1]
0b227d2c-a82c-466c-9b6d-f057de886c25, [12:53:18:086:46398086:086210000, Cliente 1]
9e88998d-28aa-4572-82d2-ae5fd3d851a8, [12:53:18:086:46398086:086210000, Cliente 1]
efe7e26e-5101-43e3-9f88-a29b37e4b7a4, [12:53:18:086:46398086:086210000, Cliente 1]
b79759fd-5085-4818-b37c-4ff73560bcc8, [12:53:18:086:46398086:086210000, Cliente 1]
cfc5865c-3be0-4d90-9bf6-72af4e8f4572, [12:53:18:086:46398086:086210000, Cliente 1]
