ad8d9b45-e572-476c-a100-6537eabfe23a, [14:09:15:862:50955862:862994000, Cliente 0]
4d31ae59-7606-4349-aa5e-ec446407bd86, [14:09:15:862:50955862:862994000, Cliente 0]
1e52b31b-fe48-41fd-966b-fcebf91f71de, [14:09:15:862:50955862:862994000, Cliente 0]
5a06fbb0-86ae-4e4a-86d9-12f7ec813343, [14:09:15:862:50955862:862994000, Cliente 0]
fbca2767-5d87-4544-ae4b-d6c4597cb0ee, [14:09:15:862:50955862:862994000, Cliente 0]
6676fa27-5986-4849-b900-24886fa44c7e, [14:09:15:862:50955862:862994000, Cliente 0]
67cade84-f4de-4204-a781-1fdadbf64721, [14:09:15:862:50955862:862994000, Cliente 0]
ee2d1b96-5ccd-4ee5-883b-7682221b296f, [14:09:15:862:50955862:862994000, Cliente 0]
627c5a8f-08cb-4803-903f-4a7d67c821b2, [14:09:15:862:50955862:862994000, Cliente 0]
0233b7c2-b0d1-4998-a25a-af1ebbd37e76, [14:09:15:862:50955862:862994000, Cliente 0]
ee133c49-4768-4f4a-97ad-90e80ef936c5, [14:09:15:862:50955862:862994000, Cliente 0]
be62d12d-91ba-4416-815a-8ceeee0a4ceb, [14:09:15:862:50955862:862994000, Cliente 0]
1a79a8d6-311c-49d1-80cf-a7cfae010533, [14:09:15:862:50955862:862994000, Cliente 0]
7b3e31a0-3616-4145-8b0c-1d6ca90e3dba, [14:09:15:862:50955862:862994000, Cliente 0]
3ea38a33-cc59-4769-a414-f79100e72a17, [14:09:15:862:50955862:862994000, Cliente 0]
ec289644-79ce-47e0-bb8e-6d65b6a881ac, [14:09:15:862:50955862:862994000, Cliente 0]
fad8ec2c-aecf-4c58-97de-eda6db380c72, [14:09:15:862:50955862:862994000, Cliente 0]
f3f9b757-7e2f-4e2f-9e95-fec8fa78588f, [14:09:15:862:50955862:862994000, Cliente 0]
8d35be48-7513-4dbe-b243-cbba5ef2bdd7, [14:09:15:862:50955862:862994000, Cliente 0]
754291a7-8929-4e54-ac5d-ed83a139e04f, [14:09:15:862:50955862:862994000, Cliente 0]
14ee4188-fcb6-4c8e-9e8f-76916333b099, [14:09:15:862:50955862:862994000, Cliente 0]
2c96b5d8-fe83-49c2-b973-a9d78d081f35, [14:09:15:862:50955862:862994000, Cliente 0]
