a611945e-95c6-42a9-8b38-d65041bf38f2, [14:02:59:466:50579466:466531000, Cliente 0]
b00f65b4-6c8e-40af-a645-c1d86d812dba, [14:02:59:466:50579466:466531000, Cliente 0]
919d0184-827f-4b5a-ba50-a823d11185a6, [14:02:59:466:50579466:466531000, Cliente 0]
588b8fef-77b4-455e-aae4-582621a3dae2, [14:02:59:466:50579466:466531000, Cliente 0]
a6cc414f-8c92-4048-b645-e5b250646bcf, [14:02:59:466:50579466:466531000, Cliente 0]
f028b6b1-1acd-4ae3-9c9f-0dbd536aa448, [14:02:59:466:50579466:466531000, Cliente 0]
d89b05a7-5d00-4db4-b964-cfb1779b0a80, [14:02:59:466:50579466:466531000, Cliente 0]
9319d964-0c92-465c-a97e-aa9ccba59d92, [14:02:59:466:50579466:466531000, Cliente 0]
d213c8e3-de53-408a-b931-b827db9c8c72, [14:02:59:466:50579466:466531000, Cliente 0]
dc2c582f-1daa-4664-b006-5e7873f6e1d2, [14:02:59:466:50579466:466531000, Cliente 0]
2e0b83f9-6cf1-47bf-9372-aabc21a8a8ae, [14:02:59:466:50579466:466531000, Cliente 0]
76d60d4d-afed-4268-91b0-acccc0dd8973, [14:02:59:466:50579466:466531000, Cliente 0]
e14d0b9d-0204-4fed-991e-895aab71f1d9, [14:02:59:466:50579466:466531000, Cliente 0]
5e1d0172-df12-4575-9e2d-f8e04379f7a6, [14:02:59:466:50579466:466531000, Cliente 0]
592e4202-44d4-4b13-905b-72a7fe8b793f, [14:02:59:466:50579466:466531000, Cliente 0]
51fb4c0a-139d-48af-a6c9-782fbca0ce29, [14:02:59:466:50579466:466531000, Cliente 0]
9d1a2593-ac74-44bf-8dd8-8da840e3151d, [14:02:59:466:50579466:466531000, Cliente 0]
d6a3d022-4c51-4a86-aeeb-a63041d28e22, [14:02:59:466:50579466:466531000, Cliente 0]
8e17d21e-e15a-4c9f-bcbe-0216036b3d54, [14:02:59:466:50579466:466531000, Cliente 0]
35e3fa3e-ca9d-45cc-8272-7031785e51aa, [14:02:59:466:50579466:466531000, Cliente 0]
0f6cbe58-11f7-4476-be15-9e3aff33fbb4, [14:02:59:466:50579466:466531000, Cliente 0]
2c07957e-f23c-432d-9b5c-d227587cb73b, [14:02:59:466:50579466:466531000, Cliente 0]
e2a74748-81d4-4391-ae71-c724ef9b0954, [14:02:59:466:50579466:466531000, Cliente 0]
21ad7e17-cc51-4108-b024-d7f02760b6be, [14:02:59:466:50579466:466531000, Cliente 0]
58f60a5a-ffa2-4996-a6b7-8042e5a7e15e, [14:02:59:466:50579466:466531000, Cliente 0]
c51fa85c-f5a5-421f-8690-ea597b97713e, [14:02:59:466:50579466:466531000, Cliente 0]
8ca4b69d-f958-4ebf-bc96-009008455add, [14:02:59:466:50579466:466531000, Cliente 0]
9a5fb9f4-66af-4a75-b3cf-604ab2649615, [14:02:59:466:50579466:466531000, Cliente 0]
42ee27e2-d9be-40b2-83f1-66a334962d41, [14:02:59:466:50579466:466531000, Cliente 0]
dacf19bf-5ae5-40d5-9084-d6e7cece2b63, [14:02:59:466:50579466:466531000, Cliente 0]
442952f3-71fb-4d89-83d2-6cd178ebadc1, [14:02:59:466:50579466:466531000, Cliente 0]
