f0c39b91-62cd-4eaa-a61b-5927c1c80392, [13:29:53:466:48593466:466107000, Cliente 0]
27bdab6f-06bb-46c8-9aea-96704372a096, [13:29:53:466:48593466:466107000, Cliente 0]
ab577bff-8b0c-40bf-9740-cf335bbca44c, [13:29:53:466:48593466:466107000, Cliente 0]
ac63d561-c962-4ae2-b70f-6d938d9cb11a, [13:29:53:466:48593466:466107000, Cliente 0]
00168fae-3507-4a00-a98a-44071160e7c8, [13:29:53:466:48593466:466107000, Cliente 0]
552dc456-19f9-4d8a-b2fe-32d1d9ee8841, [13:29:53:466:48593466:466107000, Cliente 0]
458ed951-8207-495d-89fd-181984e5a124, [13:29:53:466:48593466:466107000, Cliente 0]
188f715d-65ba-40fe-a3d8-fae1139f3bfd, [13:29:53:466:48593466:466107000, Cliente 0]
dcac919e-f61d-458b-90cf-d33692a75805, [13:29:53:466:48593466:466107000, Cliente 0]
235d42b3-f14d-4fe8-8d9c-cfac3c5fe2dd, [13:29:53:466:48593466:466107000, Cliente 0]
e5fe7b21-47fa-43c6-8d4e-a29e65c87c44, [13:29:53:466:48593466:466107000, Cliente 0]
8b9f736a-b2b7-4bea-822a-cf298512d57d, [13:29:53:466:48593466:466107000, Cliente 0]
737f75aa-ba1e-4eaa-a0d3-8abf3c9cc287, [13:29:53:466:48593466:466107000, Cliente 0]
5e8a9643-0f44-496f-aa68-558213fa3b7c, [13:29:53:466:48593466:466107000, Cliente 0]
fae4c843-5ebc-47d1-a5b7-8f11527848d7, [13:29:53:466:48593466:466107000, Cliente 0]
eaa18811-4bf7-473a-89e7-4f2f4ff59068, [13:29:53:466:48593466:466107000, Cliente 0]
24787cd7-77a0-45d7-98cd-76cdd1a67bbe, [13:29:53:466:48593466:466107000, Cliente 0]
f0bca0ad-5b2a-4c6e-8965-32d226fc6e2f, [13:29:53:466:48593466:466107000, Cliente 0]
ab2ba93a-2dad-46ed-b083-5b72d973dfd1, [13:29:53:466:48593466:466107000, Cliente 0]
4311efac-a303-4b9f-8d76-2d2d1db509ba, [13:29:53:466:48593466:466107000, Cliente 0]
0e8b4cab-271b-4d68-a69e-75460792cd67, [13:29:53:466:48593466:466107000, Cliente 0]
e00d6f40-9b1c-4d6a-9713-036efcb7c412, [13:29:53:466:48593466:466107000, Cliente 0]
2a24305e-3a2e-4b66-8ccc-59c60b383323, [13:29:53:466:48593466:466107000, Cliente 0]
76583a66-5aea-48e9-bc13-a02a7a6bdc65, [13:29:53:466:48593466:466107000, Cliente 0]
9475dda6-6d15-460b-b890-485217132b90, [13:29:53:466:48593466:466107000, Cliente 0]
14a2d2b3-f99b-4b65-b1d5-e60186a9a7b5, [13:29:53:466:48593466:466107000, Cliente 0]
c21791e7-5130-4422-9dc1-7e31267e6523, [13:29:53:466:48593466:466107000, Cliente 0]
e9f5add8-832d-45d9-b70e-5613142660bb, [13:29:53:466:48593466:466107000, Cliente 0]
a594d95e-b21e-4577-b3cc-4b64229ba5f3, [13:29:53:466:48593466:466107000, Cliente 0]
3206d006-bd05-4326-9eb6-21cab354b71e, [13:29:53:466:48593466:466107000, Cliente 0]
0964a462-1ffb-4251-9f35-880af22e5389, [13:29:53:466:48593466:466107000, Cliente 0]
fc2be309-f0ea-4372-8ca7-372806741b27, [13:29:53:466:48593466:466107000, Cliente 0]
cbba3d12-a545-4cb5-bf45-48adb2efa47d, [13:29:53:466:48593466:466107000, Cliente 0]
2bea6b04-33ce-4e34-b44b-a7ebeca1b317, [13:29:53:466:48593466:466107000, Cliente 0]
a531fe73-2918-4aff-bd79-7ef0ad9a4f80, [13:29:53:466:48593466:466107000, Cliente 0]
e954bc2d-4d6c-46a6-a873-bad49670e8ea, [13:29:53:466:48593466:466107000, Cliente 0]
e8881639-9137-4720-a316-2518c6faed04, [13:29:53:466:48593466:466107000, Cliente 0]
8756cd30-4c17-437e-b560-7361fb382fa3, [13:29:53:466:48593466:466107000, Cliente 0]
af0cb76a-a13a-43ff-b2f0-37b61195803d, [13:29:53:466:48593466:466107000, Cliente 0]
ff9a7081-46b1-41d9-a194-ca8d9eba28e2, [13:29:53:466:48593466:466107000, Cliente 0]
d23e2975-4ff8-4f69-a085-cbacfed6b546, [13:29:53:466:48593466:466107000, Cliente 0]
6fbb8900-5cac-4264-8aa3-8742aba8a8c2, [13:29:53:466:48593466:466107000, Cliente 0]
d0678f1f-c747-4aaa-8f06-d3be2be74855, [13:29:53:466:48593466:466107000, Cliente 0]
fbc25f4b-a940-4a1b-95db-5a855c5862df, [13:29:53:466:48593466:466107000, Cliente 0]
a713ca8b-6e89-4401-82c5-45cba45ce005, [13:29:53:466:48593466:466107000, Cliente 0]
a4378b39-1e12-4ebe-9ac6-480234d7a8ca, [13:29:53:466:48593466:466107000, Cliente 0]
ee4913c4-6e61-49c0-9122-eed07a4ec12f, [13:29:53:466:48593466:466107000, Cliente 0]
ff4aa15c-d54a-4525-959a-d24c2d4c11a9, [13:29:53:466:48593466:466107000, Cliente 0]
b370937e-2686-4556-9611-33684ad62102, [13:29:53:466:48593466:466107000, Cliente 0]
8af8fd1c-a553-424c-8fe0-c530da5827f0, [13:29:53:466:48593466:466107000, Cliente 0]
90e94c78-b90e-487b-ac78-9eb0c5c53a51, [13:29:54:390:48594390:390492000, Cliente 1]
09ff3718-a16b-4b40-8a54-daed0544c01c, [13:29:54:390:48594390:390492000, Cliente 1]
82d01667-1ae3-40c9-8c38-a01576609814, [13:29:54:390:48594390:390492000, Cliente 1]
8daa5892-3de0-436d-9c0e-6821902a330c, [13:29:54:390:48594390:390492000, Cliente 1]
487d5e42-45a4-4e2c-a7bb-51c292d51f2d, [13:29:54:390:48594390:390492000, Cliente 1]
9bed1750-5f6e-4947-aa61-311f09adfe77, [13:29:54:390:48594390:390492000, Cliente 1]
a779aded-9faa-43aa-8cc2-ae2a98d4cc92, [13:29:54:390:48594390:390492000, Cliente 1]
b4daebcd-9ef5-49b2-9265-715ecf8cbc66, [13:29:54:390:48594390:390492000, Cliente 1]
b28c2c9c-8565-4101-9dbf-1b6af58f297c, [13:29:54:390:48594390:390492000, Cliente 1]
dfa28452-6c1e-4ae8-a3f1-25e5a5e46b96, [13:29:54:390:48594390:390492000, Cliente 1]
4ac31700-bb8d-47ed-b95d-636f1f6486c2, [13:29:54:390:48594390:390492000, Cliente 1]
930ed44e-3922-4069-bf55-b1fff0f75f78, [13:29:54:390:48594390:390492000, Cliente 1]
7dd6028f-bd09-43e1-89ae-82bac75787b6, [13:29:54:390:48594390:390492000, Cliente 1]
d422ea1a-acfb-4e4d-a0ba-9eab65070e2b, [13:29:54:390:48594390:390492000, Cliente 1]
96bf31e6-bbc1-45d6-9cc4-a0dd07cff728, [13:29:54:390:48594390:390492000, Cliente 1]
64702a7d-7153-497c-a83e-b660a87480e8, [13:29:54:390:48594390:390492000, Cliente 1]
f3b83d50-7666-4a22-aa90-177f6d336ab1, [13:29:54:390:48594390:390492000, Cliente 1]
d9cb2c80-3e84-4def-b595-2f100f1b2f1f, [13:29:54:390:48594390:390492000, Cliente 1]
3e94953a-c538-44d9-b703-319b98e5c455, [13:29:54:390:48594390:390492000, Cliente 1]
a3242759-dd83-454a-9470-587dff22b097, [13:29:54:390:48594390:390492000, Cliente 1]
a251a004-af94-4199-8471-8dd8220e73d8, [13:29:54:390:48594390:390492000, Cliente 1]
88829e07-0a01-4e96-8225-685b495b0de3, [13:29:54:390:48594390:390492000, Cliente 1]
f0ffa8f3-6803-42b2-a494-212be76c63ce, [13:29:54:390:48594390:390492000, Cliente 1]
222ee78d-8ece-4f76-a2fb-60817c627c82, [13:29:54:390:48594390:390492000, Cliente 1]
b1332e0e-303a-493f-90ac-5cc6dcf59984, [13:29:54:390:48594390:390492000, Cliente 1]
76871d5d-3b5c-4f5d-9553-319dbc2d10dd, [13:29:54:390:48594390:390492000, Cliente 1]
a7fa7fa9-7804-46ef-b648-9fb88787932c, [13:29:54:390:48594390:390492000, Cliente 1]
83ae2de5-af1b-473c-8c77-1b03abc7081e, [13:29:54:390:48594390:390492000, Cliente 1]
f61f7334-8992-4fa8-9297-42daf50989b8, [13:29:54:390:48594390:390492000, Cliente 1]
31f8285a-558b-4165-8a76-0ccc5b36fa66, [13:29:54:390:48594390:390492000, Cliente 1]
18b3ecee-f101-4960-b78e-11b045c86dfe, [13:29:54:390:48594390:390492000, Cliente 1]
79fb1959-a9ca-4ffb-9a18-3ca14f8105dc, [13:29:54:390:48594390:390492000, Cliente 1]
bc032ba8-97e2-49d7-a3b7-df0a61bb4e71, [13:29:54:390:48594390:390492000, Cliente 1]
427d585a-c521-4516-8ec7-2935bed32586, [13:29:54:390:48594390:390492000, Cliente 1]
6aae3cb3-2b8d-41d8-b32e-376f491bbf31, [13:29:54:390:48594390:390492000, Cliente 1]
1ef317e3-4049-45da-b618-1626ca32aaaf, [13:29:54:390:48594390:390492000, Cliente 1]
5021a885-528a-4902-b0e3-394994d15ba8, [13:29:54:390:48594390:390492000, Cliente 1]
cb96b348-e7df-42d1-a8d4-67d206b61da9, [13:29:54:390:48594390:390492000, Cliente 1]
f70dae53-b33e-45ff-a05e-ecfed434c692, [13:29:54:390:48594390:390492000, Cliente 1]
4f9dafdf-6238-40f6-8325-4374d6818e92, [13:29:54:390:48594390:390492000, Cliente 1]
6f19fd5c-b5f9-4416-b39c-fbce66ef8eeb, [13:29:54:390:48594390:390492000, Cliente 1]
