2b0f9082-b5b8-484f-8917-6c77a4be9b98, [13:09:27:638:47367638:638777000, Cliente 0]
2f8acdd7-82db-43a6-9c91-6b9305914247, [13:09:27:638:47367638:638777000, Cliente 0]
2a7e03dc-b914-4b8f-84ab-469d0260a212, [13:09:27:638:47367638:638777000, Cliente 0]
45a63ef9-eec0-4f14-a6f8-85af1cf731b5, [13:09:27:638:47367638:638777000, Cliente 0]
21d3e857-89e7-463a-96ab-55f2b24e8dff, [13:09:27:638:47367638:638777000, Cliente 0]
892fc40b-bc00-4a6a-b802-e3ac0c4c2a75, [13:09:27:638:47367638:638777000, Cliente 0]
e6a891e4-b06d-4d8f-949a-6c44ccfe046f, [13:09:27:638:47367638:638777000, Cliente 0]
0964bc2e-7e5a-413e-b372-4d9ee82cae6c, [13:09:27:638:47367638:638777000, Cliente 0]
e8e8cb6a-2a42-413d-8195-29aec579f0e4, [13:09:27:638:47367638:638777000, Cliente 0]
363f41c3-f683-4607-b7d2-973b36205810, [13:09:27:638:47367638:638777000, Cliente 0]
6fdf9806-5a8e-4425-810f-245ba7d25acb, [13:09:27:638:47367638:638777000, Cliente 0]
9ab467b3-f4cd-472f-b4da-c58b35fb22d1, [13:09:27:638:47367638:638777000, Cliente 0]
03f90d51-b072-45b4-8d0c-93fda8ad002c, [13:09:27:638:47367638:638777000, Cliente 0]
2804fc20-1f9c-49cf-af7a-9d31cacf9367, [13:09:27:638:47367638:638777000, Cliente 0]
1909cad5-9767-461c-8e48-5bbdc0598219, [13:09:27:638:47367638:638777000, Cliente 0]
b1ea81ec-c865-486c-8299-ddcf1471be1b, [13:09:27:638:47367638:638777000, Cliente 0]
5a9e0da6-3ccb-4da9-b3b4-5c08f852ec1a, [13:09:27:638:47367638:638777000, Cliente 0]
d51fc0de-8e0b-4192-9445-9017b82f34a0, [13:09:27:638:47367638:638777000, Cliente 0]
1603880e-ef15-49ed-8d6a-18a880599494, [13:09:27:638:47367638:638777000, Cliente 0]
