0679a4c0-4905-4801-beda-edcc6a35fa15, [19:57:59:672:71879672:672047000, Cliente 0]
f4af7f69-36fb-4827-a485-0b57db1040e0, [19:57:59:672:71879672:672047000, Cliente 0]
97975722-ce14-42e2-9cc3-666a2c0ee289, [19:57:59:672:71879672:672047000, Cliente 0]
bcc2fe5d-a4bc-4f81-b8c9-8f6120788cff, [19:57:59:672:71879672:672047000, Cliente 0]
ed8d4f80-8426-4603-bf6e-1542bae4f4d4, [19:57:59:672:71879672:672047000, Cliente 0]
ca856b6f-b8b7-4c10-badf-533ba69e0cb2, [19:57:59:672:71879672:672047000, Cliente 0]
09a28972-e0d1-4df0-9371-080bd24e9f14, [19:57:59:672:71879672:672047000, Cliente 0]
c7897490-fd23-492d-a28a-d412978f6f0b, [19:57:59:672:71879672:672047000, Cliente 0]
d4cb547d-4049-47cb-ae6f-64548c6974ce, [19:57:59:672:71879672:672047000, Cliente 0]
1bc96c5b-2879-444a-827c-fc4dc30dadcb, [19:57:59:672:71879672:672047000, Cliente 0]
7108b00e-f9d2-499c-bc62-de73541b90e3, [19:57:59:672:71879672:672047000, Cliente 0]
e87ff9ae-2f83-4ec8-a4ee-bda1bad9e057, [19:57:59:672:71879672:672047000, Cliente 0]
9ba77a07-2267-4295-a016-c7b854160135, [19:57:59:672:71879672:672047000, Cliente 0]
fdaa7d44-8073-42ab-ac3e-46e15295da2e, [19:57:59:672:71879672:672047000, Cliente 0]
85973d28-555e-43e0-a17b-060b29ccb37a, [19:57:59:672:71879672:672047000, Cliente 0]
7791ab9a-3a9d-4896-98af-128da8c7e967, [19:57:59:672:71879672:672047000, Cliente 0]
cd9a3aaa-35f2-472e-8b85-e5b2871c3811, [19:57:59:672:71879672:672047000, Cliente 0]
8e301118-15a6-415c-986f-32a26f3379c0, [19:57:59:672:71879672:672047000, Cliente 0]
89eb41c0-7125-482f-b7e7-df2c15e1b95c, [19:57:59:672:71879672:672047000, Cliente 0]
0657160f-a1cb-412b-97cd-cb013dc161c4, [19:57:59:672:71879672:672047000, Cliente 0]
66c28bd4-211c-4a45-b5c2-9df588469eb8, [19:57:59:672:71879672:672047000, Cliente 0]
