7b95336c-c28b-4855-ae05-718dcefc194d, [20:07:00:121:72420121:121352000, Cliente 0]
c6d44481-2384-44a3-8fc1-7f3d6a4c0020, [20:07:00:121:72420121:121352000, Cliente 0]
0ae87c6f-708b-415f-9715-872ef4422aae, [20:07:00:121:72420121:121352000, Cliente 0]
9fc24786-2bc0-4e21-b0c3-679d432f23c4, [20:07:00:121:72420121:121352000, Cliente 0]
fac1943b-eb9c-4afc-8b1a-4c490a24d519, [20:07:00:121:72420121:121352000, Cliente 0]
5fa76f57-65c9-4a30-8e79-06cb13fad188, [20:07:00:121:72420121:121352000, Cliente 0]
38bd1428-456d-4160-9132-1d74f606a017, [20:07:00:121:72420121:121352000, Cliente 0]
1fc0ac89-ba18-47bf-bd72-a243b3b4ea54, [20:07:00:121:72420121:121352000, Cliente 0]
7b76a755-9c0a-4706-9668-c47830df8ab3, [20:07:00:121:72420121:121352000, Cliente 0]
b97f8fdc-5541-475c-8f01-4b2fc3dbdd8a, [20:07:00:121:72420121:121352000, Cliente 0]
5f0703d2-f3a5-4193-953e-96073f4a6f1a, [20:07:00:121:72420121:121352000, Cliente 0]
ec1bb6a7-c360-4a29-8428-476425da562f, [20:07:00:121:72420121:121352000, Cliente 0]
7542a36e-5790-4f00-9c83-28e37f551ca0, [20:07:00:121:72420121:121352000, Cliente 0]
7833fa0d-ac09-4b0b-bc9e-6e6c8ce910fc, [20:07:00:121:72420121:121352000, Cliente 0]
2394d7fb-e28b-46fc-9b34-c65f90547206, [20:07:00:121:72420121:121352000, Cliente 0]
fbc27d0f-8ed4-4432-82b3-e4c1f7c507b9, [20:07:00:121:72420121:121352000, Cliente 0]
51689252-6db6-4a7f-8901-af5070f925a5, [20:07:00:121:72420121:121352000, Cliente 0]
3a48d705-c63d-4e22-b22e-3bc9b659604c, [20:07:00:121:72420121:121352000, Cliente 0]
2de27bf8-6618-4dc3-9e4b-6153572ba014, [20:07:00:121:72420121:121352000, Cliente 0]
