3eec786b-5773-4a5d-9a14-5d7ce309652a, [19:31:33:091:70293091:091628000, Cliente 0]
8461ab46-9618-4d9d-8aff-6579135cb92b, [19:31:33:091:70293091:091628000, Cliente 0]
7cf9fef3-5b37-4867-834f-29d011cf4df9, [19:31:33:091:70293091:091628000, Cliente 0]
9e3df657-2887-42d3-a72b-5982e0ed13fa, [19:31:33:091:70293091:091628000, Cliente 0]
fad5bf41-b094-4203-a963-e26daa1730e0, [19:31:33:091:70293091:091628000, Cliente 0]
a20dbe54-4013-4daa-ac31-50f348a42368, [19:31:33:091:70293091:091628000, Cliente 0]
887e71d0-fbfd-4b83-917c-5de356ba1767, [19:31:33:091:70293091:091628000, Cliente 0]
52fca49d-3cab-49a4-860d-221f08cc3ebe, [19:31:33:091:70293091:091628000, Cliente 0]
1dc2493e-aafa-4452-8aca-853e9278de72, [19:31:33:091:70293091:091628000, Cliente 0]
d4f83ac4-1dcf-40f0-9f9a-bddc0b6a3010, [19:31:33:091:70293091:091628000, Cliente 0]
48fba60c-bd4f-4435-aca9-34152fbf3854, [19:31:33:091:70293091:091628000, Cliente 0]
10c8f343-c68e-4190-9520-20ca2b55a6db, [19:31:33:091:70293091:091628000, Cliente 0]
cb1cc9e5-8780-4119-b851-50bc3d5de8e2, [19:31:33:091:70293091:091628000, Cliente 0]
4756c88d-013c-40b1-8eaa-146524d4ed7b, [19:31:33:091:70293091:091628000, Cliente 0]
053e25dd-6dc8-4b7f-863b-f2a2347fa865, [19:31:33:091:70293091:091628000, Cliente 0]
ebce9015-d0d3-4eca-b9cf-dba635aa9eae, [19:31:33:091:70293091:091628000, Cliente 0]
465efd4c-72fb-4859-8a37-111dd0a6a3c2, [19:31:33:091:70293091:091628000, Cliente 0]
d9b9c4bb-bf68-4aa1-b361-2323597722c5, [19:31:33:091:70293091:091628000, Cliente 0]
2d584dac-73b7-4955-a841-24cf719d3d54, [19:31:33:091:70293091:091628000, Cliente 0]
59f2d885-2c0a-4555-8b1c-4a7321595466, [19:31:33:091:70293091:091628000, Cliente 0]
51e8e2b2-d31a-410d-8a15-4da5a758f67a, [19:31:33:091:70293091:091628000, Cliente 0]
