c71b48a3-4039-4c2f-b23e-6fe0a1bc62f3, [20:17:16:038:73036038:038319000, Cliente 0]
082b63de-5c66-4122-9265-8f5e3efb8286, [20:17:16:038:73036038:038319000, Cliente 0]
5f701017-6c38-4c34-bb91-423bab892613, [20:17:16:038:73036038:038319000, Cliente 0]
1e319f18-1a02-4728-9e3c-33576abb553f, [20:17:16:038:73036038:038319000, Cliente 0]
12ed60a0-275f-4b9c-8219-98b8151638d4, [20:17:16:038:73036038:038319000, Cliente 0]
43938917-b431-4dc9-a43f-0fec37dc43e8, [20:17:16:038:73036038:038319000, Cliente 0]
9fc32efd-3c40-4f14-b19a-2bc8cafab3b8, [20:17:16:038:73036038:038319000, Cliente 0]
731c3458-6cce-4755-89fb-5dac4e39f914, [20:17:16:038:73036038:038319000, Cliente 0]
9190c77e-19b8-466c-920a-4338b41577ba, [20:17:16:038:73036038:038319000, Cliente 0]
50c4ad0a-9a25-4cad-a89a-9e225fd21af6, [20:17:16:038:73036038:038319000, Cliente 0]
2a90f403-67da-4bd4-8dc0-f3f9b3e527bf, [20:17:16:038:73036038:038319000, Cliente 0]
5baf111a-1fe3-4ce5-8cf2-f0ef138f83a9, [20:17:16:038:73036038:038319000, Cliente 0]
879a6ed8-06f1-4562-a4b2-98f28f7ad20f, [20:17:16:038:73036038:038319000, Cliente 0]
32f7b33a-53f0-462f-97c3-6f5c77375134, [20:17:16:038:73036038:038319000, Cliente 0]
37f5ddcd-e4d9-444f-a0a3-4cfff2281a1b, [20:17:16:038:73036038:038319000, Cliente 0]
cda2b248-c200-49d9-a7c4-490424d14ab8, [20:17:16:038:73036038:038319000, Cliente 0]
6eb2c287-2f12-43f9-81a3-ab442cddf15b, [20:17:16:038:73036038:038319000, Cliente 0]
831d1ba4-bdbb-4989-8177-c580637da1e3, [20:17:16:038:73036038:038319000, Cliente 0]
4257fa7e-2eb2-462e-a1b5-ebb9de27549d, [20:17:16:038:73036038:038319000, Cliente 0]
d7c063e4-a72a-4d45-a747-138756bc9e33, [20:17:16:038:73036038:038319000, Cliente 0]
941a802d-3528-4706-858a-e82ca8d4dda9, [20:17:16:038:73036038:038319000, Cliente 0]
c8c41eb4-6764-4350-86d1-42a7bff0a8b2, [20:17:16:038:73036038:038319000, Cliente 0]
7acbabd4-1488-42e8-a7db-f4b7ee5974c8, [20:17:16:038:73036038:038319000, Cliente 0]
c7d871ea-140b-49a1-8331-e9ac7f8e6999, [20:17:16:038:73036038:038319000, Cliente 0]
99a91311-5b73-46ee-a469-4d939517c42f, [20:17:16:038:73036038:038319000, Cliente 0]
7207f1a7-f124-4477-99e9-07ca325dfa2b, [20:17:16:038:73036038:038319000, Cliente 0]
362f1d5f-5de0-4195-b0f9-9b0c621e25e5, [20:17:16:038:73036038:038319000, Cliente 0]
4892b6aa-f9d9-4f27-b781-b761e4fd3817, [20:17:16:038:73036038:038319000, Cliente 0]
ed1adf85-753e-4485-a69d-a0bdb896de2b, [20:17:16:038:73036038:038319000, Cliente 0]
b1c23fe0-aeff-485c-b8eb-66a26e4d7e90, [20:17:16:038:73036038:038319000, Cliente 0]
f2d598ba-7ea0-4572-bc0e-a22af1bf4900, [20:17:16:038:73036038:038319000, Cliente 0]
5d6e4d2f-503b-4df6-962b-19d959d8f5d3, [20:17:16:038:73036038:038319000, Cliente 0]
9179af31-ec60-417b-866b-eca7279bb09c, [20:17:16:038:73036038:038319000, Cliente 0]
45e764a0-5538-4ce9-ad9a-af12511a5c85, [20:17:16:038:73036038:038319000, Cliente 0]
71ea36aa-b2bb-48d4-97fc-896c81be1ae1, [20:17:16:038:73036038:038319000, Cliente 0]
ec360493-b5cd-4685-90aa-70aeb19cdbfd, [20:17:16:038:73036038:038319000, Cliente 0]
8ed5af9d-7cfc-4a6c-8f4e-0e4b4c7f0c59, [20:17:16:038:73036038:038319000, Cliente 0]
931004d9-baba-4588-a451-667e9fab47c1, [20:17:16:038:73036038:038319000, Cliente 0]
962ae3a7-65b4-427c-8e1c-4e77bebcd54f, [20:17:16:038:73036038:038319000, Cliente 0]
596e5d3d-f352-4aa1-8bfb-61b83c923a7e, [20:17:16:038:73036038:038319000, Cliente 0]
1a22dbc2-17c1-4198-96c3-1e9ba3ce7f6e, [20:17:16:038:73036038:038319000, Cliente 0]
ac49a634-0915-486b-8977-88d04145f74e, [20:17:16:038:73036038:038319000, Cliente 0]
ba4743e2-ad7a-4cf9-b11c-8f14749b8c79, [20:17:16:038:73036038:038319000, Cliente 0]
ada29736-6fbf-437d-9b07-050e9894513d, [20:17:16:038:73036038:038319000, Cliente 0]
ae083306-87da-4243-b165-614bd98e4512, [20:17:16:038:73036038:038319000, Cliente 0]
153f908a-a14e-416a-91ba-224fca257547, [20:17:16:038:73036038:038319000, Cliente 0]
8fe2aab8-eabf-4305-b049-7092bf422c68, [20:17:16:038:73036038:038319000, Cliente 0]
