1a5ede8b-16e6-4b20-a4fd-f9530a5ad5f9, [19:39:07:540:70747540:540458000, Cliente 0]
3786bb07-38cd-477a-85c3-0e874209769b, [19:39:07:540:70747540:540458000, Cliente 0]
00ad9839-4beb-4cf2-a305-69cf89931d81, [19:39:07:540:70747540:540458000, Cliente 0]
a841dd0a-91ec-4964-b958-2988b3ecd6b6, [19:39:07:540:70747540:540458000, Cliente 0]
58edf213-b89a-4d76-b38a-d335ca2eb6c4, [19:39:07:540:70747540:540458000, Cliente 0]
3a9729a7-8050-4f13-92e0-de08a75f8e62, [19:39:07:540:70747540:540458000, Cliente 0]
4b23f0b2-3397-458d-9ae0-f7858345a37c, [19:39:07:540:70747540:540458000, Cliente 0]
35cb27ed-771b-489e-af2a-830057c4b8b6, [19:39:07:540:70747540:540458000, Cliente 0]
92a86012-9a40-42da-9a36-c8ae5a06491b, [19:39:07:540:70747540:540458000, Cliente 0]
a23fd64d-ad83-4fcf-a52d-43197ed4cc0e, [19:39:07:540:70747540:540458000, Cliente 0]
f69fdc41-3d7c-4196-bbdd-b6cbf1439133, [19:39:07:540:70747540:540458000, Cliente 0]
2cde0e10-c5d6-48d2-973b-cec67648186d, [19:39:07:540:70747540:540458000, Cliente 0]
9a768dda-d9ee-4f80-bd25-b27315334baa, [19:39:07:540:70747540:540458000, Cliente 0]
d8cffbd4-2828-4340-92d3-24285ce48a97, [19:39:07:540:70747540:540458000, Cliente 0]
ff22d024-628b-4ec7-b4b2-39985bec51f7, [19:39:07:540:70747540:540458000, Cliente 0]
689d54a3-734c-48b3-a670-cdfea3ffa723, [19:39:07:540:70747540:540458000, Cliente 0]
c1278daa-b914-499f-8d40-cfcfe57c2026, [19:39:07:540:70747540:540458000, Cliente 0]
d41bc089-2cc4-4ae1-80c6-a95f38fe33b0, [19:39:07:540:70747540:540458000, Cliente 0]
bd21714c-d317-48ad-89c1-d52011c5d968, [19:39:07:540:70747540:540458000, Cliente 0]
f34e131f-0317-4092-95f6-1d7d10b2de9f, [19:39:07:540:70747540:540458000, Cliente 0]
edc1643f-2508-449d-8cce-eff324135931, [19:39:07:540:70747540:540458000, Cliente 0]
9923ad71-aa36-4fd3-8645-e43d245ad0a9, [19:39:07:540:70747540:540458000, Cliente 0]
e22ed67c-98ab-4e1a-9812-868b10558bf2, [19:39:07:540:70747540:540458000, Cliente 0]
6bd26054-dafa-4bb5-9249-ae91ff8d9a49, [19:39:07:540:70747540:540458000, Cliente 0]
7dbd25aa-1ba5-4aa9-9a98-6e5ce2f3c3a0, [19:39:07:540:70747540:540458000, Cliente 0]
4e9f1943-dbc7-4012-b4bd-ff655f8f772f, [19:39:07:540:70747540:540458000, Cliente 0]
4c270b9b-3893-4c70-9e8a-1d2fd3eca2df, [19:39:07:540:70747540:540458000, Cliente 0]
6be75d93-4456-46ce-ad7e-875b3f619daf, [19:39:07:540:70747540:540458000, Cliente 0]
d640a84e-79ed-4604-a952-781fa280394e, [19:39:07:540:70747540:540458000, Cliente 0]
000c98ac-59d4-4b69-af1a-bae6556f89ce, [19:39:07:540:70747540:540458000, Cliente 0]
15986edb-e052-49d7-8228-6befa6505783, [19:39:07:540:70747540:540458000, Cliente 0]
b5a5b86d-fa25-439a-8a43-ff26bd944a2b, [19:39:07:540:70747540:540458000, Cliente 0]
af4cb846-fae0-4607-a708-e929586be867, [19:39:07:540:70747540:540458000, Cliente 0]
c877e6e6-bb03-4bd3-a238-375b04f51a12, [19:39:07:540:70747540:540458000, Cliente 0]
ff8e5213-3e72-4ef5-969e-30e0b6e99685, [19:39:07:540:70747540:540458000, Cliente 0]
1c0cb5b2-07f5-43e7-97d5-c9300ce197bb, [19:39:07:540:70747540:540458000, Cliente 0]
9dcdc10c-7f82-4e16-8aae-579f47d1893e, [19:39:07:540:70747540:540458000, Cliente 0]
416c9263-ab59-42a1-a6c6-f14cf25de813, [19:39:07:540:70747540:540458000, Cliente 0]
6bd4d228-067e-4dd0-9e1e-1f7b4e086071, [19:39:07:540:70747540:540458000, Cliente 0]
e08f511f-6ee9-4926-8a11-efd51fba3630, [19:39:07:540:70747540:540458000, Cliente 0]
faccd208-5375-4fcb-9df8-aa7383543209, [19:39:07:540:70747540:540458000, Cliente 0]
fbd3c839-c285-4a54-95c2-ddf08cb74d5f, [19:39:07:540:70747540:540458000, Cliente 0]
6b04128a-0998-46eb-bb8e-f7a5e30de153, [19:39:07:540:70747540:540458000, Cliente 0]
8c5e1338-10a7-4a49-bcaa-bbd9defee8be, [19:39:07:540:70747540:540458000, Cliente 0]
3c844ebb-d37f-4634-8960-4df62da66839, [19:39:07:540:70747540:540458000, Cliente 0]
ab3d09c6-80d8-4fa8-92c1-517eff3d7934, [19:39:07:540:70747540:540458000, Cliente 0]
703871a0-def0-4de8-9258-18e6d8df1858, [19:39:07:540:70747540:540458000, Cliente 0]
7ab20645-9e8d-4276-bbc8-d36440059415, [19:39:07:540:70747540:540458000, Cliente 0]
3c97c9d6-7761-4485-8091-81cee17398d1, [19:39:07:540:70747540:540458000, Cliente 0]
a31d5f1b-f8ef-4770-9126-456ce115f161, [19:39:07:540:70747540:540458000, Cliente 0]
74f17d08-7ba1-4f55-8e73-cb6641a67dcf, [19:39:08:458:70748458:458089000, Cliente 1]
14bc426c-4a61-4d3f-bcb5-2e4d3bb3d268, [19:39:08:458:70748458:458089000, Cliente 1]
16fb1e3c-5b9e-4ca0-b687-e7692ca8c02e, [19:39:08:458:70748458:458089000, Cliente 1]
a620b3b4-cb1b-43b4-8eaf-1337cd56157e, [19:39:08:458:70748458:458089000, Cliente 1]
3af54210-0261-4bac-9b1d-d0af68ee3a13, [19:39:08:458:70748458:458089000, Cliente 1]
dbc632a2-e752-4f13-a0cf-8ad0e43641d2, [19:39:08:458:70748458:458089000, Cliente 1]
d6a6ecb3-2c84-4597-bc16-ea480099922e, [19:39:08:458:70748458:458089000, Cliente 1]
b1cd18fa-6e7c-4fc6-8ef1-7f673028746d, [19:39:08:458:70748458:458089000, Cliente 1]
aea42698-9997-419e-af5c-a394bf1b5a1a, [19:39:08:458:70748458:458089000, Cliente 1]
4b98e4f0-c793-4318-bf77-ded163f66f59, [19:39:08:458:70748458:458089000, Cliente 1]
72c53ac7-4b6e-4518-93fb-5e8e513a206d, [19:39:08:458:70748458:458089000, Cliente 1]
87a97c7a-9a91-4c80-8372-3ac59f85f5c1, [19:39:08:458:70748458:458089000, Cliente 1]
9e1386f2-f4da-4d5a-bc5c-099750f66d48, [19:39:08:458:70748458:458089000, Cliente 1]
f1d3b553-f7f6-4c09-b38c-f889d4c3afec, [19:39:08:458:70748458:458089000, Cliente 1]
5993826d-f6c9-41cf-b340-e0671f4d9376, [19:39:08:458:70748458:458089000, Cliente 1]
ba969abb-36e0-45d7-a1a6-cdefcc6401a6, [19:39:08:458:70748458:458089000, Cliente 1]
1dc52845-4aa3-4e44-953f-9f4f8f89e571, [19:39:08:458:70748458:458089000, Cliente 1]
a6432192-e692-450a-acdc-c9fcf43f3e06, [19:39:08:458:70748458:458089000, Cliente 1]
6e8446a6-e4ad-4047-bb32-9a67c7644f91, [19:39:08:458:70748458:458089000, Cliente 1]
73703a06-c339-42a3-b49c-50ec7d63f964, [19:39:08:458:70748458:458089000, Cliente 1]
a8ccb83e-a47b-42ae-9ec5-ae597bf273a3, [19:39:08:458:70748458:458089000, Cliente 1]
7bc9f1cb-691a-4e0f-ab49-032cf05f949d, [19:39:08:458:70748458:458089000, Cliente 1]
ac794f42-e214-4c0d-9a4b-039fef515a40, [19:39:08:458:70748458:458089000, Cliente 1]
cddd53b8-83f1-449b-b7f8-80c5d0b1facb, [19:39:08:458:70748458:458089000, Cliente 1]
3915dc6a-ca32-4cd8-af24-79bcdc75c720, [19:39:08:458:70748458:458089000, Cliente 1]
aefb6235-8dfe-4177-b521-2aaf22ed1eac, [19:39:08:458:70748458:458089000, Cliente 1]
d6ed5e57-81ff-4429-8cdd-df07339a3e30, [19:39:08:458:70748458:458089000, Cliente 1]
921d5b11-a7f7-45ee-bd76-73bc1d70b2db, [19:39:08:458:70748458:458089000, Cliente 1]
24ba150b-c636-4f2f-949d-f4fbf0c1c10d, [19:39:08:458:70748458:458089000, Cliente 1]
9c95fc19-4860-4e43-80e5-6116e3620abc, [19:39:08:458:70748458:458089000, Cliente 1]
d9bb129c-864e-4770-bcc9-bf25dffd1c84, [19:39:08:458:70748458:458089000, Cliente 1]
3255dfca-b6de-4ca6-abf6-b78224174458, [19:39:08:458:70748458:458089000, Cliente 1]
fd943ab7-73eb-4685-8180-2e04b0753859, [19:39:08:458:70748458:458089000, Cliente 1]
d78f439a-3a29-4de4-9848-6008a3e3eee1, [19:39:08:458:70748458:458089000, Cliente 1]
94d2874c-75c7-486d-a421-e9e64b9f43b5, [19:39:08:458:70748458:458089000, Cliente 1]
87bb79fb-5042-4f39-824c-c5a7af73cdeb, [19:39:08:458:70748458:458089000, Cliente 1]
98173832-1cf0-42b7-b8cf-c5fe222065bf, [19:39:08:458:70748458:458089000, Cliente 1]
4c2b6ea5-65d1-4345-bce6-ce5dbe81f9ce, [19:39:08:458:70748458:458089000, Cliente 1]
8a8cef94-67f6-4cf5-b19b-1099b55b398e, [19:39:08:458:70748458:458089000, Cliente 1]
69d9c077-21a6-4c64-a57d-c88f52b618d2, [19:39:08:458:70748458:458089000, Cliente 1]
ab031687-ab7e-4c76-8377-57209b25415c, [19:39:08:458:70748458:458089000, Cliente 1]
6e094d48-1616-4ddb-a762-4b897bf106ec, [19:39:08:458:70748458:458089000, Cliente 1]
79cc3688-7de3-4a7a-a15b-02901e51d8af, [19:39:08:458:70748458:458089000, Cliente 1]
2fb207bd-be4b-46f3-9feb-e746ab7f8f2f, [19:39:08:458:70748458:458089000, Cliente 1]
e9157d6f-2837-49a3-a24d-6de12e58824b, [19:39:08:458:70748458:458089000, Cliente 1]
d92482af-522d-4d21-8dfd-c8111ccf75b3, [19:39:08:458:70748458:458089000, Cliente 1]
b159315d-da5e-4c6a-bb0c-06d3fa9a8079, [19:39:08:458:70748458:458089000, Cliente 1]
d901260b-1828-43a9-8c78-e25c48f67ff8, [19:39:08:458:70748458:458089000, Cliente 1]
c18f7e07-ace1-4b1d-a28f-e9ed56cc4d10, [19:39:08:458:70748458:458089000, Cliente 1]
7855e75f-bdeb-402f-80a2-d48069118136, [19:39:08:458:70748458:458089000, Cliente 1]
3e050cf6-b233-4988-b01c-84361bf498bb, [19:39:09:451:70749451:451298000, Cliente 2]
bc623720-cae8-4024-a982-5e1c10efcdb5, [19:39:09:451:70749451:451298000, Cliente 2]
1100c504-17a4-43dd-ba4d-3eb466273497, [19:39:09:451:70749451:451298000, Cliente 2]
69ffee9a-ac21-4641-940c-011a14686d00, [19:39:09:451:70749451:451298000, Cliente 2]
c845fbdb-366e-42f5-9a5d-b5b9d405d552, [19:39:09:451:70749451:451298000, Cliente 2]
806d8592-3bf7-4840-b57e-42d8078a5343, [19:39:09:451:70749451:451298000, Cliente 2]
3feb414e-c03d-4721-b2af-77c0ac0cc179, [19:39:09:451:70749451:451298000, Cliente 2]
a7e2af56-b390-4d59-9c79-208d798c4fe3, [19:39:09:451:70749451:451298000, Cliente 2]
63dfddc0-af0d-4916-b7be-c4daa6d202bf, [19:39:09:451:70749451:451298000, Cliente 2]
6c5253c0-dbb6-4ac6-89e8-228f583537e3, [19:39:09:451:70749451:451298000, Cliente 2]
67b7515a-db13-4c18-8fe7-b014e2325f17, [19:39:09:451:70749451:451298000, Cliente 2]
1dcbee2c-83c7-4bb8-aa6d-524fd48d8153, [19:39:09:451:70749451:451298000, Cliente 2]
e72b2cc8-e338-40ee-b73d-e50a3b82df02, [19:39:09:451:70749451:451298000, Cliente 2]
9d30b31c-6d67-4e2f-9ad8-aaca6b95cf97, [19:39:09:451:70749451:451298000, Cliente 2]
cfea2b00-5e6f-485e-8c4c-5d5be68bf62d, [19:39:09:451:70749451:451298000, Cliente 2]
a7ec47af-69bd-480f-87f6-280b704d5805, [19:39:09:451:70749451:451298000, Cliente 2]
40d6e1f7-8684-44cc-93a9-c6564cdc791e, [19:39:09:451:70749451:451298000, Cliente 2]
b66cf825-80c3-42d5-a44e-b4a746230ba5, [19:39:09:451:70749451:451298000, Cliente 2]
9249a557-6c56-4652-a581-d2c4a62bf687, [19:39:09:451:70749451:451298000, Cliente 2]
2cde7bd4-41be-4d83-a9c9-d54fd99527fe, [19:39:09:451:70749451:451298000, Cliente 2]
da62a3ef-1428-44d1-8d3f-2d14118fffc9, [19:39:09:451:70749451:451298000, Cliente 2]
49bfb9a5-cc8e-46f7-8a99-462d2387d340, [19:39:09:451:70749451:451298000, Cliente 2]
927925d8-b829-4af9-b772-88c7dc9eee93, [19:39:09:451:70749451:451298000, Cliente 2]
2ef1c803-9bbc-4828-83f4-10617066b049, [19:39:09:451:70749451:451298000, Cliente 2]
bacd47ac-9afe-47a6-8baa-b14dc73504e9, [19:39:09:451:70749451:451298000, Cliente 2]
5c7725b9-f0ee-48de-ac0e-0765e465487f, [19:39:09:451:70749451:451298000, Cliente 2]
aa67e4a7-5304-4a7f-a5dc-cc09d389fda0, [19:39:09:451:70749451:451298000, Cliente 2]
b83672db-858a-4ac4-8cb0-8177d3f4f76f, [19:39:09:451:70749451:451298000, Cliente 2]
fbf9383b-7a27-451c-bf47-7a111bb37748, [19:39:09:451:70749451:451298000, Cliente 2]
4c672203-ea32-44ee-b069-de19906699a1, [19:39:09:451:70749451:451298000, Cliente 2]
872523fe-b4ad-408b-8fa2-807e8616275c, [19:39:09:451:70749451:451298000, Cliente 2]
3755c6ac-3758-4b6e-bacd-3616bdfc46f8, [19:39:09:451:70749451:451298000, Cliente 2]
46b493e0-10d9-466e-a6f3-948987746649, [19:39:09:451:70749451:451298000, Cliente 2]
dcc230b6-d92a-48dc-9527-57caba8d21eb, [19:39:09:451:70749451:451298000, Cliente 2]
d68e3cc7-5b33-4daa-986b-7920429dfc4a, [19:39:09:451:70749451:451298000, Cliente 2]
4ea6a0a7-c476-490b-9fec-4489d6c8cf54, [19:39:09:451:70749451:451298000, Cliente 2]
a7ca0d25-ffcb-4fbc-8996-f6cc868a5c9d, [19:39:09:451:70749451:451298000, Cliente 2]
90cb2710-99c4-4fa8-987e-cd3c2581dfbe, [19:39:09:451:70749451:451298000, Cliente 2]
aa61735e-91f6-4391-8010-df4e840a1df0, [19:39:09:451:70749451:451298000, Cliente 2]
2520f4d6-550e-42de-9192-e99fb5f55149, [19:39:09:451:70749451:451298000, Cliente 2]
dd87f638-42bc-47b6-9137-ad57c0876404, [19:39:09:451:70749451:451298000, Cliente 2]
15710c0a-ec07-47c6-aac0-b81b6155ae8a, [19:39:09:451:70749451:451298000, Cliente 2]
2513f841-f702-45e7-82b1-3e456cf2108b, [19:39:09:451:70749451:451298000, Cliente 2]
5230ddda-6280-4359-bf64-0022e8c2e346, [19:39:09:451:70749451:451298000, Cliente 2]
8b97ea85-479a-4039-93aa-6b5043d7939f, [19:39:09:451:70749451:451298000, Cliente 2]
a52fec92-434a-42d6-bb96-36d0a90686c6, [19:39:09:451:70749451:451298000, Cliente 2]
3fbec84b-a4f7-4c1a-bde0-51f9ba6e777b, [19:39:09:451:70749451:451298000, Cliente 2]
ffd87e8d-e6bc-40f0-a726-1cb2ee9dbf86, [19:39:09:451:70749451:451298000, Cliente 2]
11f6613c-387d-4b9e-9045-3bfc4fa38aa1, [19:39:09:451:70749451:451298000, Cliente 2]
da828a55-d80b-46aa-b0ad-6ea49dd4da79, [19:39:09:451:70749451:451298000, Cliente 2]
9aa12d23-167d-49d1-82d2-fd80689a679f, [19:39:10:459:70750459:459993000, Cliente 3]
44976f7d-afaa-47b0-bdee-84295a914b4c, [19:39:10:459:70750459:459993000, Cliente 3]
ddc7b221-ae26-4429-beb0-1257c99ee5be, [19:39:10:459:70750459:459993000, Cliente 3]
b12ab219-1811-489f-a0e5-78e3f7e9e1ef, [19:39:10:459:70750459:459993000, Cliente 3]
3f6f1397-fc35-4dd8-b6b6-0b09e951954e, [19:39:10:459:70750459:459993000, Cliente 3]
b94d6f6b-d537-48b1-a090-d8e3f8b35036, [19:39:10:459:70750459:459993000, Cliente 3]
51137b32-b04e-4d9d-a0f6-1c9d57099de5, [19:39:10:459:70750459:459993000, Cliente 3]
b465b04e-ff3c-4392-83da-56d91c0319a8, [19:39:10:459:70750459:459993000, Cliente 3]
ebc2eaab-4da1-441b-866b-527a46ce66dc, [19:39:10:459:70750459:459993000, Cliente 3]
75794aaa-fece-42c8-871d-b725bcb710e7, [19:39:10:459:70750459:459993000, Cliente 3]
6f8a9056-3109-46bb-b06a-f2ae685dff0d, [19:39:10:459:70750459:459993000, Cliente 3]
272bbb4b-4c9c-491c-9266-e70d414eb24e, [19:39:10:459:70750459:459993000, Cliente 3]
f06cc68d-55cf-4fbe-8a6c-b5a87891aea7, [19:39:10:459:70750459:459993000, Cliente 3]
4a343516-c1cc-48ad-bc2f-354e9302792b, [19:39:10:459:70750459:459993000, Cliente 3]
fea5cde2-1f2f-4fd9-b5a8-ddfcc67cb5fa, [19:39:10:459:70750459:459993000, Cliente 3]
f560199d-4c67-44fc-8b0c-0e76abbf4011, [19:39:10:459:70750459:459993000, Cliente 3]
a618e95a-de9a-4dea-b10f-2c09dae32d26, [19:39:10:459:70750459:459993000, Cliente 3]
98eed80a-22f0-4f8d-b5c8-f591d3734e10, [19:39:10:459:70750459:459993000, Cliente 3]
