7c32b6b2-3f44-49a0-9a47-fbc5d2374038, [19:47:59:041:71279041:041723000, Cliente 0]
d5762332-e1d9-4297-b520-e523134b07a8, [19:47:59:041:71279041:041723000, Cliente 0]
239d1db8-c28f-4eb3-abe9-9d7a694c780f, [19:47:59:041:71279041:041723000, Cliente 0]
5685a313-091e-48c8-96f3-c8f8fd764d24, [19:47:59:041:71279041:041723000, Cliente 0]
7f3bc90f-bec7-4bf0-bb9e-089b71d2f48b, [19:47:59:041:71279041:041723000, Cliente 0]
31c08f27-2a21-43c2-b18c-54eedcb7d4b5, [19:47:59:041:71279041:041723000, Cliente 0]
b960bc51-ba9e-4ef0-9ebd-54bdaf0e60b5, [19:47:59:041:71279041:041723000, Cliente 0]
8a08086b-ba9e-4929-a98f-fddd36dee44a, [19:47:59:041:71279041:041723000, Cliente 0]
0a2f572a-3b50-4d54-800b-b755c8bbcf71, [19:47:59:041:71279041:041723000, Cliente 0]
20d28800-dd5a-4f5a-a41d-34fd1cc029a2, [19:47:59:041:71279041:041723000, Cliente 0]
2857d99f-a1da-466f-8710-52bf7dcf9b9f, [19:47:59:041:71279041:041723000, Cliente 0]
af5866c9-d5ed-469b-bfe7-d4c1ddcd2519, [19:47:59:041:71279041:041723000, Cliente 0]
e9bca3c4-d06a-4e29-9055-5ac123cae555, [19:47:59:041:71279041:041723000, Cliente 0]
fe986474-9ef4-49b7-be14-18304d522113, [19:47:59:041:71279041:041723000, Cliente 0]
7e5c466a-9d19-4993-b754-8eee7dba69b7, [19:47:59:041:71279041:041723000, Cliente 0]
deea2b43-a9e3-4917-894c-0fa92e55834c, [19:47:59:041:71279041:041723000, Cliente 0]
abd2e100-d8a4-424a-a979-cf27695eb792, [19:47:59:041:71279041:041723000, Cliente 0]
508ee3a7-e126-4d84-a338-c0bb0b42f6d5, [19:47:59:041:71279041:041723000, Cliente 0]
d2438635-5dba-43af-b05f-ced1d9170550, [19:47:59:041:71279041:041723000, Cliente 0]
e20cdd16-c354-439e-b3ad-f90642686dec, [19:47:59:041:71279041:041723000, Cliente 0]
85ecdbb4-1997-4679-bf8e-99b9224797ce, [19:47:59:041:71279041:041723000, Cliente 0]
3a15cb18-b29a-4e6e-8af9-08d75c521111, [19:47:59:041:71279041:041723000, Cliente 0]
21aabf3d-30c3-4bf7-b618-32eaccd0bad9, [19:47:59:041:71279041:041723000, Cliente 0]
e6fed05c-2c0b-451c-b10c-9328273c6efc, [19:47:59:041:71279041:041723000, Cliente 0]
d12a2a6c-a9a0-4d5f-a25b-8fa551e6204f, [19:47:59:041:71279041:041723000, Cliente 0]
d0b1f4a3-3b2b-4857-9558-119bc0c33614, [19:47:59:041:71279041:041723000, Cliente 0]
c068c556-1362-4b5c-b9d1-b155ebae6a14, [19:47:59:041:71279041:041723000, Cliente 0]
70986512-db13-49f2-806b-14694dc1dafe, [19:47:59:041:71279041:041723000, Cliente 0]
f575f23f-82b2-44ce-83b0-8e6dd71c14db, [19:47:59:041:71279041:041723000, Cliente 0]
e69f0ce2-0eef-4cf6-97e9-5670d3c4aa01, [19:47:59:041:71279041:041723000, Cliente 0]
44cd75bc-c4ca-4b7c-a191-dcfa731c1107, [19:47:59:041:71279041:041723000, Cliente 0]
29a7b0b0-3ee9-4890-a432-f6da73f9ecec, [19:47:59:041:71279041:041723000, Cliente 0]
88cbf83c-3638-4365-b3b3-ffeb85e0ed87, [19:47:59:041:71279041:041723000, Cliente 0]
3afc99d6-cc83-4574-87ba-ac009d0a3137, [19:47:59:041:71279041:041723000, Cliente 0]
5c3b843a-0a99-4a63-aa8f-dce30c95ceb1, [19:47:59:041:71279041:041723000, Cliente 0]
5a0c2151-699f-4fad-a96c-505cebafc208, [19:47:59:041:71279041:041723000, Cliente 0]
aa7735c0-695f-4b6e-b69d-6c9ffca5c204, [19:47:59:041:71279041:041723000, Cliente 0]
f5b121ee-b652-4a5a-8d3d-5bd7b341d8b8, [19:47:59:041:71279041:041723000, Cliente 0]
a0cd679f-b558-4e94-a8c1-445aa0aaec46, [19:47:59:041:71279041:041723000, Cliente 0]
77e4a3ab-7e42-45d2-99ae-95e6945f839c, [19:47:59:041:71279041:041723000, Cliente 0]
42e5db42-6443-4273-aca4-bc3712900716, [19:47:59:041:71279041:041723000, Cliente 0]
2c647a91-62f7-48df-af7b-b5f099914e00, [19:47:59:041:71279041:041723000, Cliente 0]
78b97124-87c5-45a6-8760-e41a4712317b, [19:47:59:041:71279041:041723000, Cliente 0]
4cbadc89-48e8-483e-9fa0-7eba0be785be, [19:47:59:041:71279041:041723000, Cliente 0]
bd4449dc-8b88-47ab-b5e4-fb9b40b4cc9e, [19:47:59:041:71279041:041723000, Cliente 0]
88b25bf2-5a72-4234-9924-639c18015d5a, [19:47:59:041:71279041:041723000, Cliente 0]
3e8f11c4-7ac0-4e5c-9ecf-ae6c85fd037c, [19:47:59:041:71279041:041723000, Cliente 0]
14727223-d794-4488-ad96-8adc5a6bd753, [19:47:59:041:71279041:041723000, Cliente 0]
20410a70-1523-4f4c-8bbe-93b9ed904fdf, [19:47:59:041:71279041:041723000, Cliente 0]
e3e7a75d-1417-4bee-9a54-7ee7bb856a50, [19:47:59:041:71279041:041723000, Cliente 0]
400f0cef-9325-495e-b1b3-0af0ab560069, [19:47:59:947:71279947:947798000, Cliente 1]
949776b9-fa9f-47e2-8f87-421be1963a4a, [19:47:59:947:71279947:947798000, Cliente 1]
8be6b0a3-a7a0-4e1b-8645-0fccd31e8f1c, [19:47:59:947:71279947:947798000, Cliente 1]
033417da-3924-495a-9e3d-24ad0a301c3b, [19:47:59:947:71279947:947798000, Cliente 1]
447b7bf7-7027-49ce-9450-9a6b47bab657, [19:47:59:947:71279947:947798000, Cliente 1]
d27b23c8-bcd3-4fec-89c9-60a1b3b011f4, [19:47:59:947:71279947:947798000, Cliente 1]
e3dfe450-c127-404d-8792-3fec0f7d5d80, [19:47:59:947:71279947:947798000, Cliente 1]
dfc1e79f-ad24-49a0-81fd-171f8829d5a1, [19:47:59:947:71279947:947798000, Cliente 1]
1cc65540-5a0d-4dad-a247-b85ca19b5996, [19:47:59:947:71279947:947798000, Cliente 1]
bd42f2af-0e1f-48cf-bf75-19f4aee3a37e, [19:47:59:947:71279947:947798000, Cliente 1]
4ca7a654-74e7-4aa5-8534-229e343b2a07, [19:47:59:947:71279947:947798000, Cliente 1]
5969a0da-11d7-4a52-966f-bf8c8d2134dd, [19:47:59:947:71279947:947798000, Cliente 1]
e5f22346-8084-43ca-a3eb-a313778f4138, [19:47:59:947:71279947:947798000, Cliente 1]
bb380722-4379-43b0-b0ab-65e32e99cf91, [19:47:59:947:71279947:947798000, Cliente 1]
b7bda1d8-ecc4-4b0c-9222-2fbd7138f192, [19:47:59:947:71279947:947798000, Cliente 1]
c5a4d558-da0c-40e4-b755-5e8e4e2594d4, [19:47:59:947:71279947:947798000, Cliente 1]
2043ff54-0c53-44d7-ad4e-ef5dee96a6f6, [19:47:59:947:71279947:947798000, Cliente 1]
538877d0-8242-455b-8c3d-cfcd321bd3b5, [19:47:59:947:71279947:947798000, Cliente 1]
0b193037-b92b-42a9-b53b-a916e5f3a9f2, [19:47:59:947:71279947:947798000, Cliente 1]
a10b5578-e1a7-43ad-a025-cb587f004398, [19:47:59:947:71279947:947798000, Cliente 1]
89f2a125-67ad-484c-b31a-acfd133030cb, [19:47:59:947:71279947:947798000, Cliente 1]
05e04aed-d39d-47e2-ac67-24bc4f204769, [19:47:59:947:71279947:947798000, Cliente 1]
baf11cbe-f76e-4d91-8d36-1ef83a48ec4b, [19:47:59:947:71279947:947798000, Cliente 1]
