7a82c6e2-b8f9-4e14-89d6-6a73b4c7c0dd, [20:29:17:115:73757115:115570000, Cliente 0]
62ef3309-9deb-4c59-8e11-153350743c54, [20:29:17:115:73757115:115570000, Cliente 0]
907ef6e2-9dd2-46c1-87f5-9a3ea2c2437d, [20:29:17:115:73757115:115570000, Cliente 0]
31f39b01-1bb9-449c-b205-4f6e87442347, [20:29:17:115:73757115:115570000, Cliente 0]
b04d3c33-7ae2-4fa1-b10e-6ad37b03dc05, [20:29:17:115:73757115:115570000, Cliente 0]
94d15e7c-e640-4a16-bdeb-327c0fbe872d, [20:29:17:115:73757115:115570000, Cliente 0]
322b0821-167b-41ce-a435-15b674b45283, [20:29:17:115:73757115:115570000, Cliente 0]
52d8599e-207d-470c-8c42-b78ea421255e, [20:29:17:115:73757115:115570000, Cliente 0]
2b665008-62f0-47ab-808d-00b36cca1a9b, [20:29:17:115:73757115:115570000, Cliente 0]
043c23a1-3b83-4600-a82f-2310b4da1433, [20:29:17:115:73757115:115570000, Cliente 0]
5af5944a-5709-4549-9c7f-b61b28ac2525, [20:29:17:115:73757115:115570000, Cliente 0]
20ce1523-ee4b-40b5-b97c-d7f598ae7768, [20:29:17:115:73757115:115570000, Cliente 0]
9c5e172d-ddb3-4a6d-bcd1-1ee43fcc9f84, [20:29:17:115:73757115:115570000, Cliente 0]
fd70a36d-a324-4326-b6f7-2088f37a6e66, [20:29:17:115:73757115:115570000, Cliente 0]
e7d7a020-bdfb-41ca-acf8-bc77fbd8f880, [20:29:17:115:73757115:115570000, Cliente 0]
805fd0fc-8ba8-433a-803c-e89c235071b9, [20:29:17:115:73757115:115570000, Cliente 0]
6be14ed9-12e6-4bb4-92af-38665fe5ef44, [20:29:17:115:73757115:115570000, Cliente 0]
5449965c-429d-41c0-b7f4-307325c66b53, [20:29:17:115:73757115:115570000, Cliente 0]
65708c1d-9019-4f6c-ac61-396acffc17ad, [20:29:17:115:73757115:115570000, Cliente 0]
dd94244c-f006-4771-9b2f-59e9801f86ae, [20:29:17:115:73757115:115570000, Cliente 0]
a42c7034-86f0-4df6-b4d1-c66a1d2490bc, [20:29:17:115:73757115:115570000, Cliente 0]
463e087f-ab31-4b10-b890-40039ad701c5, [20:29:17:115:73757115:115570000, Cliente 0]
e58cab28-8997-4316-a538-570da5cfd660, [20:29:17:115:73757115:115570000, Cliente 0]
858cfc3a-76ec-4bc1-9d14-3c6b24cf94bc, [20:29:17:115:73757115:115570000, Cliente 0]
9a3960e7-5fc2-48d1-9342-5b51e9c8a2b9, [20:29:17:115:73757115:115570000, Cliente 0]
5e02c5b5-fa09-4529-a715-5e6af37c3d12, [20:29:17:115:73757115:115570000, Cliente 0]
214f8e0d-f61a-4a93-bd76-2ea12b22406f, [20:29:17:115:73757115:115570000, Cliente 0]
9c084a54-814f-46ec-809b-babc3a286e37, [20:29:17:115:73757115:115570000, Cliente 0]
0239bb01-88bb-47da-a65c-3a85b7c095d6, [20:29:17:115:73757115:115570000, Cliente 0]
c4607604-6451-4f52-b035-3e3ea08a8ad4, [20:29:17:115:73757115:115570000, Cliente 0]
c1c0fbb4-d214-4384-9f44-63595b01882a, [20:29:17:115:73757115:115570000, Cliente 0]
a800c07b-5ebe-450c-b8cf-c41485632c26, [20:29:17:115:73757115:115570000, Cliente 0]
1d2d74de-0c75-42ff-bd3e-eaf760aa38c1, [20:29:17:115:73757115:115570000, Cliente 0]
062584c9-839a-4ded-b039-21fa32a5b542, [20:29:17:115:73757115:115570000, Cliente 0]
d3470e50-649a-41c8-934f-277876d69cd3, [20:29:17:115:73757115:115570000, Cliente 0]
81544ea7-6537-47e4-989e-5589477a7c1f, [20:29:17:115:73757115:115570000, Cliente 0]
e5190ce1-1da9-440d-ae8d-7d68d6afeaa4, [20:29:17:115:73757115:115570000, Cliente 0]
2425fae9-a297-4ad6-a0e7-e4e63b6014d5, [20:29:17:115:73757115:115570000, Cliente 0]
6298721c-0964-48c7-b001-2f3148ca1b38, [20:29:17:115:73757115:115570000, Cliente 0]
85358256-d2d6-41d7-8698-068d43e69a67, [20:29:17:115:73757115:115570000, Cliente 0]
61707e6a-13f2-47b4-9803-11f8cb7e35ca, [20:29:17:115:73757115:115570000, Cliente 0]
232e2044-3e30-41aa-ac8a-e336027d56ba, [20:29:17:115:73757115:115570000, Cliente 0]
4b3fba05-5f18-4507-a98c-fdd3e053d7bc, [20:29:17:115:73757115:115570000, Cliente 0]
9127b990-1882-4a32-9884-762d92c00c88, [20:29:17:115:73757115:115570000, Cliente 0]
709455b2-c52c-49bf-95cf-27eae47813ae, [20:29:17:115:73757115:115570000, Cliente 0]
238179e0-e0e8-4378-9bb0-016c85190dae, [20:29:17:115:73757115:115570000, Cliente 0]
3abba5a3-5934-4f24-9fde-620234f00278, [20:29:17:115:73757115:115570000, Cliente 0]
2c143fed-cb6c-42fc-bd01-27c63643db3d, [20:29:17:115:73757115:115570000, Cliente 0]
b1c4435b-34a1-4f8f-8e4a-8b2822977e36, [20:29:17:115:73757115:115570000, Cliente 0]
dbec9fed-84cc-4af5-90cd-3a475ebc69fc, [20:29:17:115:73757115:115570000, Cliente 0]
0bca94d9-e0f1-4ff4-86c0-19e9008766e9, [20:29:18:022:73758022:022075000, Cliente 1]
f110d77d-5f8e-4771-9f8c-b0b21bbb7724, [20:29:18:022:73758022:022075000, Cliente 1]
84229bfc-f81e-4fed-ba84-407afa5a49d5, [20:29:18:022:73758022:022075000, Cliente 1]
2479d57e-b04d-413e-82fb-edc39814191b, [20:29:18:022:73758022:022075000, Cliente 1]
074669aa-036d-483f-a755-76c48f6ed93a, [20:29:18:022:73758022:022075000, Cliente 1]
354916ff-b47c-4565-bee3-9c99ea572fd4, [20:29:18:022:73758022:022075000, Cliente 1]
f3ca59d5-769a-4b08-9dcd-fec98dda72b9, [20:29:18:022:73758022:022075000, Cliente 1]
a5445501-12c8-4a4c-9f6e-585eb4de5a0c, [20:29:18:022:73758022:022075000, Cliente 1]
1d0fcd90-0b27-4ee3-950e-60b1be3aa537, [20:29:18:022:73758022:022075000, Cliente 1]
e4ddec13-fd84-47cd-808b-622de43304e3, [20:29:18:022:73758022:022075000, Cliente 1]
37d35a31-80f9-424f-93bf-15e97bc76b44, [20:29:18:022:73758022:022075000, Cliente 1]
c6f601c7-6265-415b-89f9-457fdfbf569b, [20:29:18:022:73758022:022075000, Cliente 1]
e5ac88c4-cfbf-4d64-b23e-bc1427efd06e, [20:29:18:022:73758022:022075000, Cliente 1]
77b43082-0426-4500-8537-cbe4a402c900, [20:29:18:022:73758022:022075000, Cliente 1]
f702ca8c-8471-4ae7-ab6e-32afcf1d8984, [20:29:18:022:73758022:022075000, Cliente 1]
5e0d40a2-4e9e-4f51-acb5-2754a7214882, [20:29:18:022:73758022:022075000, Cliente 1]
3a3c68d9-c7fe-445e-8f77-f0c3a3188a1a, [20:29:18:022:73758022:022075000, Cliente 1]
deab1f67-2d09-4158-85e9-6bb9ceee555a, [20:29:18:022:73758022:022075000, Cliente 1]
95beab76-d1d5-4307-9a51-d8ba7e994279, [20:29:18:022:73758022:022075000, Cliente 1]
c4ef243d-fef7-4f08-98f0-5d2b86e551e5, [20:29:18:022:73758022:022075000, Cliente 1]
077888ca-a291-4e2c-b1b2-d9574f0d188c, [20:29:18:022:73758022:022075000, Cliente 1]
91f81656-d03d-4e00-8cfe-046e70c4d191, [20:29:18:022:73758022:022075000, Cliente 1]
778ba539-ecdd-4d07-9dde-c990196de6c4, [20:29:18:022:73758022:022075000, Cliente 1]
e50c5f44-d7ee-49a2-af16-bd4449e88db2, [20:29:18:022:73758022:022075000, Cliente 1]
a972efcf-97f5-47e4-b19c-1a067b177075, [20:29:18:022:73758022:022075000, Cliente 1]
30868282-3f9e-4e5b-a795-b5e793a92807, [20:29:18:022:73758022:022075000, Cliente 1]
f4dad5ad-fc3e-4c1a-a3af-4de642bb5ca7, [20:29:18:022:73758022:022075000, Cliente 1]
5a014d2f-6cc6-4e34-bb29-23416b39841b, [20:29:18:022:73758022:022075000, Cliente 1]
6301016c-e4b3-4d72-8cf0-a0a5ea567a27, [20:29:18:022:73758022:022075000, Cliente 1]
19bc61d6-307e-4989-b8f2-0236fba6c025, [20:29:18:022:73758022:022075000, Cliente 1]
dea01770-283f-46bd-94e7-c22d8e357fae, [20:29:18:022:73758022:022075000, Cliente 1]
522fd36a-de55-4483-b731-83abd32c0af9, [20:29:18:022:73758022:022075000, Cliente 1]
22f6c09e-2dc6-4663-832f-84b740ec7c24, [20:29:18:022:73758022:022075000, Cliente 1]
462b968d-c700-4cc5-9b3a-5518eb0ae7b7, [20:29:18:022:73758022:022075000, Cliente 1]
3b905e9d-ac75-470f-996b-4cd4676bb977, [20:29:18:022:73758022:022075000, Cliente 1]
4fb1d8ac-355b-4253-b886-a72d75122da4, [20:29:18:022:73758022:022075000, Cliente 1]
50a99fd0-5fce-47cd-93d3-f986cf4a11f3, [20:29:18:022:73758022:022075000, Cliente 1]
3cfad59c-7814-43a0-bfd7-5cbc571f93d3, [20:29:18:022:73758022:022075000, Cliente 1]
2b8ecd50-05cc-4f50-9514-1f84999fdcd1, [20:29:18:022:73758022:022075000, Cliente 1]
f0ec3ed2-267b-4c3b-be2c-a7431310b8b8, [20:29:18:022:73758022:022075000, Cliente 1]
e12121d3-b8ca-40d3-9b7c-235904536ded, [20:29:18:022:73758022:022075000, Cliente 1]
76008d3f-4258-4b20-9bc7-61993cbe7fc0, [20:29:18:022:73758022:022075000, Cliente 1]
598b76bf-5562-4059-a059-36f838e0c542, [20:29:18:022:73758022:022075000, Cliente 1]
7beaf98a-df4f-4e42-8792-46b51455e633, [20:29:18:022:73758022:022075000, Cliente 1]
a70f0bf3-f57e-435c-b5a4-7f1e5b49d96a, [20:29:18:022:73758022:022075000, Cliente 1]
