b554e264-a072-41d7-b480-451265c17b0f, [21:23:07:524:76987524:524997000, Cliente 4]
717cf5b9-2d37-4a14-9a50-6c016972a45f, [21:23:07:524:76987524:524997000, Cliente 4]
ca965a11-5de2-4f3f-ab9b-43c7b4c0c615, [21:23:07:524:76987524:524997000, Cliente 4]
1147addd-c28c-4942-8388-222a08326a69, [21:23:07:524:76987524:524997000, Cliente 4]
e5703718-8c88-4eb5-90e9-310738c5fdda, [21:23:07:524:76987524:524997000, Cliente 4]
e9ebfab3-c5fe-4369-81c0-3fc1196a8b33, [21:23:07:524:76987524:524997000, Cliente 4]
c2395ce4-88b3-4adc-8ea2-5067e4816aeb, [21:23:07:524:76987524:524997000, Cliente 4]
5124ad50-3b6e-4171-8653-badaa85b0d41, [21:23:07:524:76987524:524997000, Cliente 4]
55b92c8c-6883-4efc-b40b-38866d252384, [21:23:07:524:76987524:524997000, Cliente 4]
b30bc68c-a053-4880-8a59-e33182f71316, [21:23:07:524:76987524:524997000, Cliente 4]
ccc6489d-fe51-4315-9489-311b547f8690, [21:23:07:524:76987524:524997000, Cliente 4]
92bd0d8f-33a0-4dea-a493-d3e15b46ab59, [21:23:07:524:76987524:524997000, Cliente 4]
c3b137ef-a267-4d6f-afb6-bdf2ea3b7a9a, [21:23:07:524:76987524:524997000, Cliente 4]
8d6de439-8de3-4ec7-bf28-54c4bc9dda34, [21:23:07:524:76987524:524997000, Cliente 4]
168885fc-63d0-4c79-a354-ee0553b8bd57, [21:23:07:524:76987524:524997000, Cliente 4]
6ca75ee6-0049-474a-8ac0-0166428ad03a, [21:23:07:524:76987524:524997000, Cliente 4]
d8291be3-0600-40a9-8aff-34eb5c0a81bb, [21:23:07:524:76987524:524997000, Cliente 4]
0a99935f-cbd7-4fae-980c-8be3d60140f2, [21:23:07:524:76987524:524997000, Cliente 4]
f39bc572-184c-453b-874e-514b2ebd4f3c, [21:23:07:524:76987524:524997000, Cliente 4]
2cc812bd-fc53-48e9-9a0f-769d1c11bb01, [21:23:07:524:76987524:524997000, Cliente 4]
b1706756-38d3-4a37-bfbc-4dc063a2c933, [21:23:07:524:76987524:524997000, Cliente 4]
fabdd9e2-7a3c-4baa-9acb-ff1ccb3d04d5, [21:23:07:524:76987524:524997000, Cliente 4]
44c95d45-6d5f-4e94-bca2-ffbd5ec06398, [21:23:07:524:76987524:524997000, Cliente 4]
be4c4deb-b02e-46bf-983f-41b8e81a9aac, [21:23:07:524:76987524:524997000, Cliente 4]
f8c6d19e-77a6-4482-b79f-af6302bfb339, [21:23:07:524:76987524:524997000, Cliente 4]
f83410fc-8a45-4aed-b27b-6d4b95c538ef, [21:23:07:524:76987524:524997000, Cliente 4]
5857e193-a3aa-45ad-a94a-f0c95a802a25, [21:23:07:524:76987524:524997000, Cliente 4]
9f99b29c-30e2-4065-83a4-a7c1e4f48b8b, [21:23:07:524:76987524:524997000, Cliente 4]
8a6eae0b-4339-4474-bf45-a8aa74bb679f, [21:23:07:524:76987524:524997000, Cliente 4]
d87ef867-c433-469d-9061-ecaa443d640c, [21:23:07:524:76987524:524997000, Cliente 4]
f025f597-a2d6-4eb6-9916-4738fcaf231b, [21:23:07:524:76987524:524997000, Cliente 4]
41582da9-c4f2-4b08-be46-c8faf0c72ad6, [21:23:07:524:76987524:524997000, Cliente 4]
88ead17b-4529-4b34-b934-87b334974184, [21:23:07:524:76987524:524997000, Cliente 4]
54f552b0-5835-4a0b-90b6-eb8f504eb1a7, [21:23:07:524:76987524:524997000, Cliente 4]
3b0ba1ce-ed38-4617-9c04-847f522a8b52, [21:23:07:524:76987524:524997000, Cliente 4]
af53dafc-9d1e-41ef-9671-a20433070837, [21:23:07:524:76987524:524997000, Cliente 4]
9bc5e0a0-1a58-4d20-89bb-e9493aef4957, [21:23:07:524:76987524:524997000, Cliente 4]
16c30ed8-ad57-4fdf-b60b-8cc272f1ef61, [21:23:07:524:76987524:524997000, Cliente 4]
57f8446c-f4c2-4f31-9a0c-056463462fd9, [21:23:07:524:76987524:524997000, Cliente 4]
2862d873-1c8f-4b66-99f0-a90f6f3f287c, [21:23:07:524:76987524:524997000, Cliente 4]
5d9754ac-1cdf-4652-8f45-5ad98e69517e, [21:23:07:524:76987524:524997000, Cliente 4]
04428a40-fe84-4462-ac0c-6d3e24cfda0b, [21:23:07:524:76987524:524997000, Cliente 4]
1697c82b-3b95-4b20-baf6-cb4d9bdd4fe1, [21:23:07:524:76987524:524997000, Cliente 4]
3de89320-1cff-455c-a29c-39d4e2c6eaae, [21:23:07:524:76987524:524997000, Cliente 4]
c5f15a8c-8513-4911-9b25-64c354d1a8e7, [21:23:07:524:76987524:524997000, Cliente 4]
abd82abd-4075-4bf0-8752-86323a13a236, [21:23:07:524:76987524:524997000, Cliente 4]
5a3f57cc-d8fd-4871-ba0b-4b629175af65, [21:23:07:524:76987524:524997000, Cliente 4]
b35634d3-e13c-466b-ab90-c06742e62525, [21:23:07:524:76987524:524997000, Cliente 4]
5f928b4e-c50f-4f96-a9e8-8a3007896794, [21:23:07:524:76987524:524997000, Cliente 4]
d54f605b-e361-45d7-a790-7c57aaaca3bc, [21:23:07:524:76987524:524997000, Cliente 4]
ae92bc19-f122-493f-b060-3be745c44e1d, [21:23:07:524:76987524:524997000, Cliente 4]
52a69e60-f055-4e2e-b2a5-1b5155f8647b, [21:23:07:524:76987524:524997000, Cliente 4]
f5838d88-a13c-4e56-86b9-20542c6596b0, [21:23:07:524:76987524:524997000, Cliente 4]
83035a4b-40d7-4c48-802d-7b0dd4cb6ea5, [21:23:07:524:76987524:524997000, Cliente 4]
f4bc80db-7a87-4542-88b1-6d2c95e95992, [21:23:07:524:76987524:524997000, Cliente 4]
